area_id	DEF_CELLNAME	def_cellname_chinese	lat	lon
NULL	4-1159-1-131	株洲县沈家屋村HLD3900255734PT-131	27.48641	113.14471
NULL	4-3826-1-61	株洲工大河东科技学院女生宿舍FHLD39001037853PT-61	27.83751	113.17861
NULL	4-4295-1-1	株洲湘江四季花园HLD3900462975PT-2	27.82292	113.14716
NULL	5-1117-1-21	长沙东七路与映霞路交汇处以西HL-D3900461705PT-21	28.20778	113.11556
28BDF4E5-7CED-4C6F-B841-15AD85806622	5-2394-1-7	长沙生态公园(湘绣城1拉远)HF-D3900461447PT-7	28.24916	113.06627
NULL	5-2501-1-4	长沙航空技校4栋宿舍HL-D3900460365PT-4	28.03417	113.04194
NULL	5-294-1-131	长沙地铁1号线友谊路站HL-D3900986241TF-131	28.12705	112.98159
NULL	5-297-1-131	长沙地铁1号线桂花坪站HL-D3900986243TF-131	28.10218	112.98241
E86295EC-BACE-483E-B26D-8B2F5FAF78DA	5-301-1-151	长沙地铁1号线黄兴广场站HL-D3900986393TF-151	28.18715	112.97052
NULL	5-3204-1-3	长沙湖南司法警官职业学院(翔天宾馆拉远)HL-D3900459526TF-3	28.21151	113.09231
1C4482FA-B055-44A1-96C8-3DDA4813920E	5-4049-1-3	长沙女子大学招待所(挂AB)HL-D3900461132PT-3	28.12068	113.00101
E86295EC-BACE-483E-B26D-8B2F5FAF78DA	5-5424-1-3	长沙万代广场HL-D3900460050PT-3	28.20072	112.97048
87C51354-0610-45A2-AC8F-025FBF526661	5-5606-1-152	长沙地铁1号线文昌阁站HL-D3900986381TF-152	28.21589	112.97231
NULL	5-7278-1-25	长沙浏洞阳乡政府HL-D3900460312PT-25	28.21424	113.40012
5E984EEC-C38E-4D85-AB10-8D902886EC8D	5-842-1-2	长沙湘江南路湘乐大桥北HL-D3900471995PT-2	28.12361	112.95471
64AD16CB-C070-4438-9AC3-DC6127903590	5-883-1-152	长沙理工云塘敏行轩及留学生公寓HL-D390054171TF-152	28.07283	113.00056
CC4D4287-3BC5-4F40-8808-9E27F589ACF7	7310-474638-474638-22	长沙橘子洲沙滩公园南门(橘子洲头北拉远)ZL-B8300474638PT-22	28.20413	112.95763
NULL	7310-54117-54117-131	长沙岳麓区梅溪湖金茂广场6ZL-B830054117TF-131	28.19973	112.89873
NULL	7316-474085-474085-7	长沙南方大学2ZL-B8300474085PT-7	28.15018	112.90885
NULL	7444-465518-465518-3	张家界桑植县八斗溪ZLB8300465518PT-3	29.40631	110.14726
NULL	Nokia-102302-MRBTS-289877-LNBTS-289877-LNCEL-133	yozdaoxianxingongmaoxuexiaoNL-FSIH289877PT-133	25.55498	111.59814
NULL	Nokia-102302-MRBTS-470312-LNBTS-470312-LNCEL-1	yozningyuanzhiyezhongzhuanFL-FSMF470312PT-1	25.57728	111.94311
